date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
105/01/04,"2,707,539","213,592,981",79.2,79.8,78,78.5,-0.2,"1,976"
105/01/05,"7,462,452","575,696,567",78.6,78.9,76.2,76.2,-2.3,"4,704"
105/01/06,"12,806,455","924,194,275",75,75,70.2,72.2,-4,"7,759"
105/01/07,"8,042,471","567,018,339",71,72.3,69,70.3,-1.9,"4,780"
105/01/08,"8,554,617","595,916,707",67.9,71.4,66.5,71,0.7,"5,092"
105/01/11,"3,754,108","264,225,368",69.6,71.8,69,71.1,0.1,"2,315"
105/01/12,"5,262,162","364,962,386",71.8,72.1,68.1,68.2,-2.9,"3,004"
105/01/13,"3,571,594","246,884,942",69.8,69.9,68.4,68.4,0.2,"2,373"
105/01/14,"6,493,243","433,244,019",66.7,67.7,65.3,66.1,-2.3,"3,960"
105/01/15,"5,586,590","377,759,495",67.5,68.7,67,67.4,1.3,"3,525"
105/01/18,"6,416,716","446,304,136",66.6,71.7,66.5,71,3.6,"4,141"
105/01/19,"5,332,197","377,426,484",70.3,72.1,69.5,71.2,0.2,"3,150"
105/01/20,"7,501,652","523,042,929",70,70.6,68.6,70.3,-0.9,"3,747"
105/01/21,"3,975,764","278,136,580",70.9,71,69.1,69.9,-0.4,"2,039"
105/01/22,"4,481,509","313,639,074",70.7,71,69.1,70,0.1,"2,390"
105/01/25,"4,030,150","288,318,060",71.8,72.3,71,71,1,"2,674"
105/01/26,"2,728,938","192,695,856",70.3,71.6,69.9,71.5,0.5,"1,704"
105/01/27,"3,896,504","277,062,529",71.7,72,70.4,71.5,0,"2,118"
105/01/28,"6,319,476","452,044,872",70.5,72.3,70.3,72,0.5,"3,532"
105/01/29,"12,716,940","980,625,231",73.7,79.2,73.7,79.2,7.2,"6,231"
105/01/30,"13,543,407","1,100,285,260",81,82.4,79.9,79.9,0.7,"7,615"
105/02/01,"8,059,735","654,256,535",81,82.3,79.9,81,1.1,"4,647"
105/02/02,"4,939,195","399,236,190",81.5,81.9,80.1,80.5,-0.5,"2,769"
105/02/03,"5,460,344","438,482,378",79.5,81.3,79.4,79.8,-0.7,"2,806"
105/02/15,"3,938,512","316,176,357",79.3,81.3,79,80.6,0.8,"2,532"
105/02/16,"8,758,805","727,327,739",81.3,84.4,81,82.7,2.1,"5,540"
105/02/17,"3,736,908","309,270,614",83.7,83.7,82.1,82.2,-0.5,"2,405"
105/02/18,"4,909,848","409,284,752",83.9,84,82.5,82.5,0.3,"2,908"
105/02/19,"4,776,197","398,223,920",82.9,84,82.6,83.3,0.8,"2,829"
105/02/22,"5,869,035","480,414,039",83.3,83.8,81,81.3,-2,"3,561"
105/02/23,"3,509,724","285,486,581",81.8,82.1,80.9,81.2,-0.1,"2,417"
105/02/24,"3,359,047","269,545,159",80.9,80.9,79.7,80.2,-1,"2,274"
105/02/25,"2,540,265","205,513,301",80.9,81.4,80.5,80.7,0.5,"1,655"
105/02/26,"3,164,476","258,108,632",81.2,82.1,80.4,82.1,1.4,"2,250"
105/03/01,"11,875,608","1,020,191,231",82.8,88.3,82.5,87,4.9,"7,632"
105/03/02,"13,780,011","1,233,602,339",88.9,90.6,88.3,88.8,1.8,"8,258"
105/03/03,"5,128,410","453,030,751",90,90.1,87.1,88.7,-0.1,"3,187"
105/03/04,"3,331,276","295,778,038",89.2,89.5,88.2,88.6,-0.1,"2,128"
105/03/07,"2,875,096","254,104,095",89.7,89.7,87.5,87.6,-1,"2,100"
105/03/08,"3,772,313","330,396,300",87.2,88.8,86.5,88.6,1,"2,491"
105/03/09,"2,851,668","250,123,072",88,88.3,87.1,87.8,-0.8,"1,811"
105/03/10,"2,880,895","253,340,190",87.8,88.4,87.2,87.5,-0.3,"1,871"
105/03/11,"2,709,890","238,779,496",87.8,88.7,87.2,88.5,1,"1,718"
105/03/14,"6,097,927","548,310,673",89.3,91,88.7,90.5,2,"3,709"
105/03/15,"7,060,295","624,127,165",91,91.2,86.7,86.7,-3.8,"4,395"
105/03/16,"3,203,749","282,892,952",87.9,89.2,87.5,88,1.3,"2,195"
105/03/17,"2,888,891","255,233,855",89.4,89.5,87.2,87.5,-0.5,"1,883"
105/03/18,"2,186,855","193,463,762",87.7,88.9,87.5,88.9,1.4,"1,480"
105/03/21,"1,630,181","145,001,428",89.5,89.6,88,88.9,0,"1,091"
105/03/22,"2,890,710","252,849,570",88.5,88.5,86.8,87,-1.9,"1,806"
105/03/23,"5,896,579","500,785,615",86.8,86.9,83.8,84.3,-2.7,"3,420"
105/03/24,"4,970,864","419,587,990",83.9,85.6,82.9,85.5,1.2,"2,809"
105/03/25,"2,734,311","230,734,751",86,86,83.6,83.8,-1.7,"1,681"
105/03/28,"6,527,170","534,709,111",83.9,84.6,80.8,81.1,-2.7,"3,895"
105/03/29,"4,435,776","362,667,030",80.6,84,80.6,81,-0.1,"2,916"
105/03/30,"3,582,811","298,704,027",82.5,84,82.4,84,3,"2,324"
105/03/31,"1,566,269","130,579,627",84.8,84.8,82.7,83,-1,"1,070"
105/04/01,"2,353,768","192,857,112",83.3,83.3,81.3,81.8,-1.2,"1,472"
105/04/06,"3,804,788","309,994,251",81.8,83.2,79.6,83.2,1.4,"2,333"
105/04/07,"3,152,580","260,119,118",83,83.1,81.6,82.8,-0.4,"1,860"
105/04/08,"3,606,408","296,594,069",82.3,83.4,81.5,82.3,-0.5,"2,149"
105/04/11,"3,026,326","244,747,206",81.3,81.3,80.4,80.9,-1.4,"2,020"
105/04/12,"2,351,805","189,283,498",80.9,81.6,80,80.5,-0.4,"1,565"
105/04/13,"1,779,691","144,143,329",81.1,81.4,80.6,81,0.5,"1,261"
105/04/14,"1,747,201","143,499,053",82,82.7,81.6,81.9,0.9,"1,187"
105/04/15,"2,393,207","194,543,803",81.5,81.8,80.7,81.8,-0.1,"1,521"
105/04/18,"5,723,212","453,460,525",80.8,81,78.3,78.5,-3.3,"3,411"
105/04/19,"4,223,820","331,305,478",79.7,80,77.6,77.8,-0.7,"2,850"
105/04/20,"4,457,885","340,510,430",78,79,75,76,-1.8,"2,869"
105/04/21,"3,717,637","282,641,746",76.2,76.6,75.5,75.6,-0.4,"2,208"
105/04/22,"3,429,096","260,398,788",75.3,77.3,74.6,77.3,1.7,"1,987"
105/04/25,"1,513,127","116,232,679",77.3,77.3,76,76.8,-0.5,"1,046"
105/04/26,"877,228","67,728,056",77.7,77.7,76.5,76.5,-0.3,651
105/04/27,"1,484,634","114,806,996",76.3,77.9,76,77.3,0.8,"1,096"
105/04/28,"2,441,036","185,212,772",77.3,77.3,74.6,74.9,-2.4,"1,524"
105/04/29,"2,277,862","168,586,431",74,74.6,73.5,74.4,-0.5,"1,520"
105/05/03,"2,040,401","148,770,430",74.6,74.9,72.3,72.5,-1.9,"1,439"
105/05/04,"1,536,559","112,551,457",72.5,74,72.2,73.1,0.6,"1,062"
105/05/05,"1,162,291","84,842,868",73.2,73.9,72.1,73.5,0.4,875
105/05/06,"1,677,922","124,596,900",73.5,74.8,72.5,74.6,1.1,"1,188"
105/05/09,"2,947,010","224,132,546",74.5,77,74.1,76.1,1.5,"1,871"
105/05/10,"2,207,038","169,242,888",74.6,78.3,74.6,76,-0.1,"1,597"
105/05/11,"2,342,814","179,796,943",76.8,77.9,75.6,76.2,0.2,"1,652"
105/05/12,"1,610,180","122,261,031",76.2,76.7,75.2,75.5,-0.7,"1,063"
105/05/13,"3,733,048","275,291,000",74.8,75,72.3,75,-0.5,"2,364"
105/05/16,"1,523,669","112,788,128",74.3,74.8,73.5,73.5,-1.5,"1,081"
105/05/17,"6,973,647","540,005,947",75,79.6,75,78.5,5,"4,632"
105/05/18,"5,131,873","409,103,154",77.8,80.7,77.6,80,1.5,"3,580"
105/05/19,"2,948,029","233,352,162",80.5,80.9,78.3,78.4,-1.6,"2,160"
105/05/20,"2,037,214","161,399,764",78.4,79.8,78,79.3,0.9,"1,573"
105/05/23,"9,114,556","756,962,412",80.5,85.4,79.8,83.1,3.8,"5,631"
105/05/24,"3,513,468","292,320,140",83.6,84.3,82.5,83.1,0,"2,481"
105/05/25,"4,438,828","370,478,934",84.5,84.6,82.6,82.6,-0.5,"2,842"
105/05/26,"2,659,667","221,902,761",84,84,82.9,83.4,0.8,"1,484"
105/05/27,"1,481,026","124,040,664",83.6,84.1,83.5,83.9,0.5,"1,115"
105/05/30,"1,361,108","113,980,237",84,84.3,83.1,84,0.1,892
105/05/31,"1,918,915","161,044,715",84.4,84.7,83.3,83.7,-0.3,"1,264"
105/06/01,"2,665,734","224,853,556",84,85.2,83.7,84,0.3,"1,749"
105/06/02,"1,830,947","153,362,620",84.3,84.9,82.8,83,-1,"1,277"
105/06/03,"2,455,145","201,954,921",83.5,83.7,81.3,82.2,-0.8,"1,562"
105/06/04,"591,747","48,567,254",82,82.4,81.9,82,-0.2,470
105/06/06,"1,989,025","162,410,225",82,83,81.1,81.2,-0.8,"1,396"
105/06/07,"3,048,214","247,239,639",80.8,81.9,80.6,80.6,-0.6,"1,866"
105/06/08,"2,743,230","225,735,008",81,83,80.9,82,1.4,"1,950"
105/06/13,"2,016,993","162,171,029",82,82,79.8,80.2,-1.8,"1,385"
105/06/14,"1,760,775","141,846,244",79.8,81.8,79.1,81.3,1.1,"1,270"
105/06/15,"1,855,890","149,926,215",81.3,81.5,80.2,80.6,-0.7,"1,286"
105/06/16,"2,555,475","202,368,725",80.2,80.6,78.6,78.6,-2,"1,821"
105/06/17,"2,063,820","164,411,137",79.3,80.4,78.8,80.4,1.8,"1,344"
105/06/20,"1,384,001","111,856,572",80.8,81.4,80.1,81,0.6,832
105/06/21,"1,167,906","94,574,910",81,81.2,80.5,81,0,736
105/06/22,"1,435,648","117,259,308",81,82,80.8,82,1,924
105/06/23,"1,188,731","96,925,615",81.9,81.9,81,81.9,-0.1,966
105/06/24,"3,425,962","272,436,995",81.5,81.8,77.8,78.5,-3.4,"2,207"
105/06/27,"1,654,806","131,829,280",78.2,80.3,78.1,80.3,1.8,"1,138"
105/06/28,"1,370,532","110,423,538",79.6,81.2,79.2,81.1,0.8,936
105/06/29,"3,707,619","308,666,377",82.5,84.1,82,83.1,2,"2,496"
105/06/30,"1,518,110","126,234,087",83.6,83.6,82.7,83,-0.1,980
105/07/01,"1,565,005","130,804,608",83.6,84,83.3,83.5,0.5,899
105/07/04,"1,086,445","90,326,776",83.8,83.8,82.8,82.9,-0.6,671
105/07/05,"2,403,795","201,690,539",83.1,84.5,83.1,83.7,0.8,"1,414"
105/07/06,"2,559,242","210,599,663",83.3,83.3,81.8,82.3,-1.4,"1,475"
105/07/07,"1,500,675","123,797,109",83,83,82.1,82.4,0.1,902
105/07/11,"3,337,714","280,463,720",83.5,85,82.4,84,1.6,"2,182"
105/07/12,"2,247,287","187,443,345",83.9,84,82.9,83.2,-0.8,"1,489"
105/07/13,"1,551,795","128,908,085",83.5,83.8,82.8,83.1,-0.1,941
105/07/14,"3,525,697","297,021,786",83.1,85,83,84.7,1.6,"2,083"
105/07/15,"5,981,901","513,736,385",85.5,86.3,85.2,85.3,0.6,"3,473"
105/07/18,"2,047,365","174,543,225",85.5,86.2,84.7,85.3,0,"1,249"
105/07/19,"3,834,860","330,897,205",86.2,87,85.3,85.9,0.6,"2,542"
105/07/20,"1,779,011","152,110,728",85.9,86.3,85,85.4,-0.5,"1,067"
105/07/21,"3,349,884","288,924,576",86.3,86.8,85.8,86.3,0.9,"1,873"
105/07/22,"8,331,424","735,745,022",87.1,89.2,87.1,88.3,2,"5,055"
105/07/25,"4,857,670","422,008,207",88.7,88.9,85.7,86.3,-2,"3,077"
105/07/26,"3,400,374","293,310,838",86,87.4,85,87.4,1.1,"2,160"
105/07/27,"5,266,479","462,816,406",88.6,88.7,86.8,87.3,-0.1,"3,312"
105/07/28,"7,613,774","650,602,916",87.4,88,83.5,83.7,-3.6,"4,529"
105/07/29,"13,025,597","1,096,025,111",84.3,85.3,82.5,85,1.3,"6,032"
105/08/01,"4,753,254","405,578,208",85,86.2,84.6,85.8,0.8,"2,871"
105/08/02,"4,476,131","388,427,662",85.8,87.3,85.4,87,1.2,"3,069"
105/08/03,"3,094,541","267,720,947",86,87.1,85.8,86.9,-0.1,"1,911"
105/08/04,"6,546,178","578,118,877",87,89.5,87,87.6,0.7,"3,731"
105/08/05,"3,844,522","339,795,232",87.8,88.9,87,88.5,0.9,"2,403"
105/08/08,"4,542,345","405,844,457",89.2,89.7,88.9,89.4,0.9,"2,796"
105/08/09,"7,699,519","697,572,581",90,91.8,89.7,90,0.6,"4,860"
105/08/10,"2,682,933","239,670,837",90.1,90.1,88.8,89.1,-0.9,"1,845"
105/08/11,"4,887,445","427,802,682",89,89,86,87.4,-1.7,"2,747"
105/08/12,"1,731,505","151,307,035",88.3,88.3,86.7,87,-0.4,"1,180"
105/08/15,"1,893,586","166,346,068",87.1,88.4,86.9,88,1,"1,186"
105/08/16,"1,893,919","166,148,114",88.6,88.7,87.1,87.8,-0.2,"1,330"
105/08/17,"2,761,339","242,169,086",87.9,88.2,87.2,87.8,0,"1,842"
105/08/18,"1,380,730","121,774,040",87.8,88.6,87.5,88.3,0.5,"1,007"
105/08/19,"1,311,571","115,285,352",88.6,88.7,87.5,87.5,-0.8,936
105/08/22,"2,446,864","210,698,509",87.3,87.3,85.6,85.8,-1.7,"1,708"
105/08/23,"1,895,539","162,357,059",85.3,86.2,85.3,85.4,-0.4,"1,396"
105/08/24,"1,795,186","153,256,396",85.4,86.2,85.1,85.2,-0.2,"1,367"
105/08/25,"3,070,947","266,911,151",85.8,87.8,85.2,87.5,2.3,"2,140"
105/08/26,"2,962,158","258,437,292",87.9,88,86.5,86.6,-0.9,"1,978"
105/08/29,"1,957,686","169,039,618",86.9,87,85.8,86.2,-0.4,"1,115"
105/08/30,"2,165,224","188,838,088",87,87.8,86.4,87.2,1,"1,446"
105/08/31,"3,276,909","288,654,692",88.3,88.5,87.7,88.3,1.1,"2,053"
105/09/01,"2,118,502","185,705,760",88.3,88.5,87.2,87.6,-0.7,"1,417"
